company,professional_logic,commercial_logic,innovation_logic,total_value_statements,industry
Accenture,0,5,13,8,Consulting
AlixPartners,0,2,1,1,Consulting
Ashurst,0,1,1,1,Law
BDO,9,12,3,7,Consulting
Baker McKenzie,2,4,5,2,Law
BearingPoint,6,27,21,26,Consulting
Charles River Associates,0,1,0,1,Consulting
Clifford Chance,0,0,1,1,Law
Covington & Burling,6,0,0,3,Law
Davis Polk,7,6,2,4,Law
Deloitte,1,3,1,2,Consulting
EY,3,11,4,7,Consulting
FTI Consulting,0,3,0,1,Consulting
Freshfields Bruckhaus Deringer,2,0,0,2,Law
Gibson Dunn,3,1,0,1,Law
Grant Thornton,6,7,5,10,Consulting
Huron Consulting,1,1,0,1,Consulting
K&L Gates,1,0,0,1,Law
KPMG,0,2,2,5,Consulting
L.E.K. Consulting,0,5,2,2,Consulting
Lenz & Staehelin,3,3,2,4,Law
Linklaters,2,0,0,1,Law
Mayer Brown,7,1,0,1,Law
Niederer Kraft Frey,2,4,1,4,Law
PwC,0,6,5,6,Consulting
RSM,3,4,1,3,Consulting
Roland Berger,0,0,1,1,Consulting
Simon-Kucher,0,26,9,7,Consulting
Slalom,2,3,7,8,Consulting
Strategy&,0,4,0,1,Consulting
Willis Towers Watson,2,7,1,3,Consulting
