topic,term,beta
1,sustainability,0.022203211877392392
1,global,0.012178250551793513
1,growth,0.011841793198882898
1,ai,0.011004059302135239
1,expertise,0.010361569049022488
1,innovation,0.008881344899162175
1,data,0.008881344899162175
1,term,0.008881344899162135
1,power,0.008880928256303138
1,people,0.008070644619410676
2,legal,0.022730556672884317
2,partnership,0.016461268661631473
2,law,0.016461268661631268
2,grant,0.016461268661631223
2,thornton,0.016461268661631223
2,brown,0.016461268661631223
2,mayer,0.016461268661631223
2,international,0.01440361007892733
2,practices,0.012345941543392693
2,rsm,0.011953173422135834
3,sustainable,0.016071594734194793
3,growth,0.013149486600704743
3,opportunities,0.01314945588961965
3,partnership,0.011688432533959871
3,teams,0.010227378467214868
3,burling,0.008766324400469866
3,covington,0.008766324400469866
3,build,0.007859581825183043
3,world,0.007828937846876612
3,strategic,0.007305270333724919
