topic,term,beta
1,legal,0.024357651422662083
1,sustainability,0.015458437409359108
1,global,0.01536941819732287
1,brown,0.014105980031459813
1,mayer,0.014105980031459813
1,law,0.012342732527527335
1,partnership,0.012342732527527335
1,international,0.012342732527527335
1,practices,0.008816237519662382
1,gtil,0.008816237519662382
1,rsm,0.008816237519662382
2,people,0.013691339481569469
2,sustainable,0.010268504611177095
2,healthcare,0.010268504611177095
2,deliver,0.008557087175980917
2,teams,0.008557087175980917
2,health,0.008557087175980917
2,grant,0.008557087175980917
2,thornton,0.008557087175980917
2,based,0.008555989766213593
2,leaders,0.006845669740784734
2,innovation,0.006845669740784734
2,experience,0.006845669740784734
2,world,0.006845669740784734
2,purpose,0.006845669740784734
2,professional,0.006845669740784734
2,it’s,0.006845669740784734
3,growth,0.018472431436023614
3,partnership,0.012902233143670982
3,build,0.010035070222855203
3,opportunities,0.010035070222855203
3,create,0.010035070222855203
3,ai,0.008601488762447311
3,technology,0.008601488762447311
3,world,0.008601488762447311
3,career,0.008601488762447311
3,burling,0.008601488762447311
3,covington,0.008601488762447311
